Query,Natural_ID,Natural_SMILES,Similarity
CHEMBL3306520,CNP0397780.0,NC1=CC=C(C(=O)NC2=CC=C(C(=O)O)C(N)=C2)C=C1,0.46
CHEMBL3306520,CNP0604541.0,C[N+]1=CC=C(NC(=O)C2=CC=CC=C2)C=C1,0.44680851063829785
CHEMBL3306520,CNP0398940.0,NC1=CC=CC(C(=O)NC2=CC=CC=C2)=C1,0.40816326530612246
CHEMBL3306520,CNP0317150.0,CC1=CC=C(C(=O)NC2=CC=CC=C2)C=C1,0.40425531914893614
CHEMBL3306520,CNP0569328.0,CC(=O)NC1=CC=C(C(=O)NC2=CC=CC=C2N)C=C1,0.40384615384615385
Zavegepant,CNP0599203.1,CN1CCC(N2CCN(C(=O)[C@H](NC(=O)C3=CC=C4C=CNC4=C3)C3=CC=CC=C3)CC2)CC1,0.35714285714285715
Zavegepant,CNP0565948.1,NCCCC[C@H](NC(=O)[C@@H](CC1=CC(Br)=C(O)C(Br)=C1)NC(=O)N1CCC(N2CC3=CC=CC=C3N=C2O)CC1)C(=O)N1CCN(C2=CC=NC=C2)CC1,0.31666666666666665
Zavegepant,CNP0186714.1,CN1CCC(N2CC[C@H](C3=NC4=CC=CC=C4N3)C2)CC1,0.3146067415730337
Zavegepant,CNP0217470.1,O=C(O)C1CCN(C(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)N2C(=O)NC3=CC=CC=C3C2=O)CC1,0.3137254901960784
Zavegepant,CNP0503957.1,CN1CCC(N2CC[C@H](C3=NC4=C(C(N)=O)C=CC=C4N3)C2)CC1,0.3125
methylbenzamido-nicotinic acid,CNP0520053.0,CC1=CN=CC(C(=O)O)=C1,0.4186046511627907
methylbenzamido-nicotinic acid,CNP0360525.0,O=C(O)C1=CC=C(NC(=O)C2=CC=CN=C2)C=C1,0.4
methylbenzamido-nicotinic acid,CNP0067873.0,CC1=CC=C(C(=O)C2=CN=CC(Br)=C2)C=C1,0.3877551020408163
methylbenzamido-nicotinic acid,CNP0369362.0,COC1=CC=C(C(=O)NC2=CC=C(Br)C=C2C)C=C1OC,0.38181818181818183
methylbenzamido-nicotinic acid,CNP0561430.0,C[Si](C)(C)C1=CC(C(=O)NC2=CC=C(C(=O)O)C=C2)=CC([Si](C)(C)C)=C1,0.37254901960784315
pyrazolo pyrimidine,CNP0524774.1,O=C(NC1=CC=NC=C1)NC1=CC=C(C2=NC(N3CCOCC3)=NC(N3[C@@H]4CC[C@H]3COC4)=N2)C=C1,0.42857142857142855
pyrazolo pyrimidine,CNP0597934.0,CN(C)C1CCN(C(=O)C2=CC=C(NC(=O)NC3=CC=C(C4=NC(N5CCOCC5)=NC(N5CCOCC5)=N4)C=C3)C=C2)CC1,0.4235294117647059
pyrazolo pyrimidine,CNP0129974.1,O=C(NC1=CC=CN=C1)N[C@H]1CO[C@@H](CN2CCOCC2)[C@@H]1O,0.3563218390804598
pyrazolo pyrimidine,CNP0547536.1,O=C(NC1=CC=CN=C1)N1CCOC[C@H](OC2=CC=CC=C2)C1,0.3448275862068966
pyrazolo pyrimidine,CNP0481425.1,O=C(NC1=CC=CN=C1)O[C@H]1COCCN(C2=NC3=CC=CC=C3O2)C1,0.34408602150537637
